Atom Index	Element	Distance to Atom 1	Distance to Atom 2	Distance to Atom 3	Distance to Atom 4	Distance to Atom 5	Distance to Atom 6	Distance to Atom 7	Distance to Atom 8	Distance to Atom 9	Distance to Atom 10	Distance to Atom 11	Distance to Atom 12	Distance to Atom 13	Distance to Atom 14	Distance to Atom 15	Distance to Atom 16	Distance to Atom 17	Distance to Atom 18	Distance to Atom 19	Distance to Atom 20	Distance to Atom 21	Distance to Atom 22	Distance to Atom 23	Distance to Atom 24	Distance to Atom 25
1	8	0.0	2.4010878638650435	3.5794801186764538	3.540867265233194	3.0585739961622638	3.4369253148708365	1.2181707844140737	2.4077174148973546	3.011704675096813	3.5614943759607427	4.8427715267189715	4.435421682320634	4.397962706754117	3.64739872786072	4.080610977537555	2.815491426021397	3.188463581413468	2.470808509375018	4.040625345166266	4.157944714639673	3.052090121539664	4.415416650781667	5.446405330123714	5.431298029937227	5.067739182317891
2	6	2.4010878638650435	0.0	1.5235152411446364	1.5024929750251745	1.4932019086513384	2.3510525493914423	1.487019532487721	2.41853967095849	2.510554508470191	2.510666608691803	3.7790798708151163	2.2613771091969603	2.241165031852853	2.2329913770545557	2.1323773634138963	3.451630637829025	2.705422384767303	2.88527996215272	3.448209116338509	2.771858935804634	2.801064822527319	3.457758500821016	4.175334842859911	4.170220751950668	4.493786889695595
3	6	3.5794801186764538	1.5235152411446364	0.0	1.501794003850062	2.5831969049996943	1.474295065446534	2.3987791519854427	2.384971888723219	3.9158829719489834	3.1857099475627093	2.563873269098923	1.081586344218528	2.220682230757026	2.2357650413225447	2.7801298584778373	3.426848623735808	4.10733689998763	4.358112468718539	4.721501445514975	2.879705514458032	3.6006042978922306	4.159614794665488	2.857134967060534	2.8514487773761603	3.48978278120573
4	6	3.540867265233194	1.5024929750251745	1.501794003850062	0.0	2.552600599388788	2.5888750858239566	2.6076860719802912	3.108838246033396	3.474941832606698	3.760757530072897	3.7126700486307698	2.2394487915556365	1.0843382959206043	1.0847136534588289	2.589033425817442	4.1280816149877655	3.269457792968124	4.081784597452443	4.316273194551059	3.8128861115957817	4.2434875703835875	4.602423929843925	4.209083212529778	3.689895415862081	4.5676798016060625
5	6	3.0585739961622638	1.4932019086513384	2.5831969049996943	2.552600599388788	0.0	3.612188357491896	2.569228228476404	3.6721077952587398	1.5391593159903882	1.5393696437178435	4.95922342408567	2.778970257127629	2.7339002322689097	3.4602834927213695	1.0983011153595357	4.645102519858954	2.183447452997209	2.20158945764191	2.1752439702249493	2.1873531813586937	2.1932608736764534	2.180255464389437	5.108245367051196	5.415275071499139	5.719096273888034
6	6	3.4369253148708365	2.3510525493914423	1.474295065446534	2.5888750858239566	3.612188357491896	0.0	2.2635058648035353	1.3444405267619686	4.795326021241935	3.9032577995822932	1.4899941946195627	2.1974796062762447	3.5293498225593907	2.8258443163061906	4.089544782735604	2.184597745581552	5.019218645367026	4.939662849830948	5.711565604980827	3.547887541904337	3.935722735407056	4.9783624195110585	2.1340939342025225	2.1336381534833877	2.151274789514347
7	6	1.2181707844140737	1.487019532487721	2.3987791519854427	2.6076860719802912	2.569228228476404	2.2635058648035353	0.0	1.4808165213827136	3.118052220537687	3.1181758722047737	3.7168109152874593	3.29200216585591	3.5605421061967517	2.8348057817070997	3.4844998278088637	2.275472546527424	3.3338874381118506	2.9510660497521903	4.162203495745973	3.448258779442169	2.8457135713209087	4.130038869066488	4.300478024592151	4.292326815376481	4.084815601713252
8	6	2.4077174148973546	2.41853967095849	2.384971888723219	3.108838246033396	3.6721077952587398	1.3444405267619686	1.4808165213827136	0.0	4.5205046466075	3.923067590546969	2.512191204904595	3.2460843873812033	4.159335295452869	3.176195603233529	4.442122542208848	1.0761819455835522	4.754553276597076	4.378857757452279	5.522752245936803	3.8630453349656664	3.6190355621353048	5.011030172529398	3.2174926651043045	3.221368190691651	2.663381987248543
9	6	3.011704675096813	2.510554508470191	3.9158829719489834	3.474941832606698	1.5391593159903882	4.795326021241935	3.118052220537687	4.5205046466075	0.0	2.5106851933287055	6.2385643388523295	4.276504933938461	3.586465385306263	4.12653414986475	2.1365921510667403	5.3605191968689	1.095130193173396	1.0938863469300637	1.0957477675085632	3.476013270975817	2.7919847886405114	2.734352992940012	6.514337342354938	6.676159034954155	6.894599714994337
10	6	3.5614943759607427	2.510666608691803	3.1857099475627093	3.760757530072897	1.5393696437178435	3.9032577995822932	3.1181758722047737	3.923067590546969	2.5106851933287055	0.0	5.088615734165825	3.0795871947389313	4.030741179981667	4.691724905618402	2.1363691254088093	4.7557999474326085	3.47258009266885	2.7291337270276808	2.8000026803558598	1.094713195316472	1.0952270814767138	1.0952223290273075	4.9880317170202515	5.775101309933879	5.754070094289781
11	6	4.8427715267189715	3.7790798708151163	2.563873269098923	3.7126700486307698	4.95922342408567	1.4899941946195627	3.7168109152874593	2.512191204904595	6.2385643388523295	5.088615734165825	0.0	2.8733271585393823	4.51271134131134	3.8264292048854114	5.285804439250472	2.8911934923142035	6.461843151145035	6.410352025435108	7.108647187756613	4.493587550053966	5.148569479962371	6.120684496034737	1.0946535981761536	1.0946290832971688	1.0950102008657272
12	1	4.435421682320634	2.2613771091969603	1.081586344218528	2.2394487915556365	2.778970257127629	2.1974796062762447	3.29200216585591	3.2460843873812033	4.276504933938461	3.0795871947389313	2.8733271585393823	0.0	2.530740913250505	3.120142814039127	2.682165887860033	4.2397125338871735	4.6070397556348475	4.828699399424238	4.887653985298059	2.4829896395273177	3.7063462345010345	3.91476307073621	2.7546440096680374	3.160194834183488	3.8943057686832963
13	1	4.397962706754117	2.241165031852853	2.220682230757026	1.0843382959206043	2.7339002322689097	3.5293498225593907	3.5605421061967517	4.159335295452869	3.586465385306263	4.030741179981667	4.51271134131134	2.530740913250505	0.0	1.8074522981257348	2.330748090206232	5.196102475894793	3.296734423638034	4.416271710391016	4.216195418858097	4.084755118731109	4.723934142216633	4.679058453364309	4.8599199839092	4.376089731712548	5.458141136870684
14	1	3.64739872786072	2.2329913770545557	2.2357650413225447	1.0847136534588289	3.4602834927213695	2.8258443163061906	2.8348057817070997	3.176195603233529	4.12653414986475	4.691724905618402	3.8264292048854114	3.120142814039127	1.8074522981257348	0.0	3.6023610521434413	4.045409973043523	3.7142607407127466	4.604852476464366	5.049940005584225	4.785216054683425	5.025524485066211	5.572308526993099	4.546371746788862	3.6301618159525617	4.538515102982473
15	1	4.080610977537555	2.1323773634138963	2.7801298584778373	2.589033425817442	1.0983011153595357	4.089544782735604	3.4844998278088637	4.442122542208848	2.1365921510667403	2.1363691254088093	5.285804439250472	2.682165887860033	2.330748090206232	3.6023610521434413	0.0	5.477057383303555	2.5449433038871416	3.0651518428945734	2.4009189844724044	2.492194779707236	3.066229273880216	2.460766146955049	5.333799753459067	5.590831875490444	6.178453920682746
16	1	2.815491426021397	3.451630637829025	3.426848623735808	4.1280816149877655	4.645102519858954	2.184597745581552	2.275472546527424	1.0761819455835522	5.3605191968689	4.7557999474326085	2.8911934923142035	4.2397125338871735	5.196102475894793	4.045409973043523	5.477057383303555	0.0	5.5959514061507	5.0511942350299694	6.3700253696512075	4.7000319254234855	4.265445793818039	5.821299570542647	3.6355931826869736	3.6415565215989716	2.606549537223492
17	1	3.188463581413468	2.705422384767303	4.10733689998763	3.269457792968124	2.183447452997209	5.019218645367026	3.3338874381118506	4.754553276597076	1.095130193173396	3.47258009266885	6.461843151145035	4.6070397556348475	3.296734423638034	3.7142607407127466	2.5449433038871416	5.5959514061507	0.0	1.7734287186126203	1.7713976035887595	4.332817549816747	3.771459322331344	3.76896458593073	6.869948894278617	6.7485837951380585	7.127892348373395
18	1	2.470808509375018	2.88527996215272	4.358112468718539	4.081784597452443	2.20158945764191	4.939662849830948	2.9510660497521903	4.378857757452279	1.0938863469300637	2.7291337270276808	6.410352025435108	4.828699399424238	4.416271710391016	4.604852476464366	3.0651518428945734	5.0511942350299694	1.7734287186126203	0.0	1.7622692671666271	3.7652569128812443	2.5629886577977667	3.0062517875254557	6.735433636374128	6.963559996151394	6.915983898911274
19	1	4.040625345166266	3.448209116338509	4.721501445514975	4.316273194551059	2.1752439702249493	5.711565604980827	4.162203495745973	5.522752245936803	1.0957477675085632	2.8000026803558598	7.108647187756613	4.887653985298059	4.216195418858097	5.049940005584225	2.4009189844724044	6.3700253696512075	1.7713976035887595	1.7622692671666271	0.0	3.783765250382217	3.2179396218698697	2.575964390281822	7.271766350756878	7.550015143693422	7.812978680375367
20	1	4.157944714639673	2.771858935804634	2.879705514458032	3.8128861115957817	2.1873531813586937	3.547887541904337	3.448258779442169	3.8630453349656664	3.476013270975817	1.094713195316472	4.493587550053966	2.4829896395273177	4.084755118731109	4.785216054683425	2.492194779707236	4.7000319254234855	4.332817549816747	3.7652569128812443	3.783765250382217	0.0	1.7681954586526911	1.7688243694612533	4.199805653836854	5.201656201634245	5.20979314848488
21	1	3.052090121539664	2.801064822527319	3.6006042978922306	4.2434875703835875	2.1932608736764534	3.935722735407056	2.8457135713209087	3.6190355621353048	2.7919847886405114	1.0952270814767138	5.148569479962371	3.7063462345010345	4.723934142216633	5.025524485066211	3.066229273880216	4.265445793818039	3.771459322331344	2.5629886577977667	3.2179396218698697	1.7681954586526911	0.0	1.7713034155671918	5.129381203420156	5.960758540655711	5.625705773500779
22	1	4.415416650781667	3.457758500821016	4.159614794665488	4.602423929843925	2.180255464389437	4.9783624195110585	4.130038869066488	5.011030172529398	2.734352992940012	1.0952223290273075	6.120684496034737	3.91476307073621	4.679058453364309	5.572308526993099	2.460766146955049	5.821299570542647	3.76896458593073	3.0062517875254557	2.575964390281822	1.7688243694612533	1.7713034155671918	0.0	5.935216041560745	6.785226900406501	6.808245320198149
23	1	5.446405330123714	4.175334842859911	2.857134967060534	4.209083212529778	5.108245367051196	2.1340939342025225	4.300478024592151	3.2174926651043045	6.514337342354938	4.9880317170202515	1.0946535981761536	2.7546440096680374	4.8599199839092	4.546371746788862	5.333799753459067	3.6355931826869736	6.869948894278617	6.735433636374128	7.271766350756878	4.199805653836854	5.129381203420156	5.935216041560745	0.0	1.7759509255607262	1.7705868575136325
24	1	5.431298029937227	4.170220751950668	2.8514487773761603	3.689895415862081	5.415275071499139	2.1336381534833877	4.292326815376481	3.221368190691651	6.676159034954155	5.775101309933879	1.0946290832971688	3.160194834183488	4.376089731712548	3.6301618159525617	5.590831875490444	3.6415565215989716	6.7485837951380585	6.963559996151394	7.550015143693422	5.201656201634245	5.960758540655711	6.785226900406501	1.7759509255607262	0.0	1.7704602706641004
25	1	5.067739182317891	4.493786889695595	3.48978278120573	4.5676798016060625	5.719096273888034	2.151274789514347	4.084815601713252	2.663381987248543	6.894599714994337	5.754070094289781	1.0950102008657272	3.8943057686832963	5.458141136870684	4.538515102982473	6.178453920682746	2.606549537223492	7.127892348373395	6.915983898911274	7.812978680375367	5.20979314848488	5.625705773500779	6.808245320198149	1.7705868575136325	1.7704602706641004	0.0
